Country/Region,ObservationDate,Confirmed,Deaths,Recovered
US,01/22/2020,1.0,0.0,0.0
Mainland China,01/22/2020,547.0,17.0,28.0
US,01/23/2020,1.0,0.0,0.0
Mainland China,01/23/2020,639.0,18.0,30.0
France,01/24/2020,2.0,0.0,0.0
US,01/24/2020,2.0,0.0,0.0
Mainland China,01/24/2020,916.0,26.0,36.0
US,01/25/2020,2.0,0.0,0.0
Mainland China,01/25/2020,1399.0,42.0,39.0
France,01/25/2020,3.0,0.0,0.0
Mainland China,01/26/2020,2062.0,56.0,49.0
US,01/26/2020,5.0,0.0,0.0
France,01/26/2020,3.0,0.0,0.0
Mainland China,01/27/2020,2863.0,82.0,58.0
US,01/27/2020,5.0,0.0,0.0
France,01/27/2020,3.0,0.0,0.0
Germany,01/28/2020,4.0,0.0,0.0
Mainland China,01/28/2020,5494.0,131.0,101.0
US,01/28/2020,5.0,0.0,0.0
France,01/28/2020,4.0,0.0,0.0
France,01/29/2020,5.0,0.0,0.0
Germany,01/29/2020,4.0,0.0,0.0
Mainland China,01/29/2020,6070.0,133.0,120.0
US,01/29/2020,5.0,0.0,0.0
France,01/30/2020,5.0,0.0,0.0
Germany,01/30/2020,4.0,0.0,0.0
Mainland China,01/30/2020,8124.0,171.0,135.0
US,01/30/2020,5.0,0.0,0.0
Germany,01/31/2020,5.0,0.0,0.0
Italy,01/31/2020,2.0,0.0,0.0
France,01/31/2020,5.0,0.0,0.0
Mainland China,01/31/2020,9783.0,213.0,214.0
US,01/31/2020,6.0,0.0,0.0
Italy,02/01/2020,2.0,0.0,0.0
France,02/01/2020,6.0,0.0,0.0
Germany,02/01/2020,8.0,0.0,0.0
Mainland China,02/01/2020,11871.0,259.0,275.0
US,02/01/2020,8.0,0.0,0.0
Spain,02/01/2020,1.0,0.0,0.0
US,02/02/2020,8.0,0.0,0.0
Spain,02/02/2020,1.0,0.0,0.0
Italy,02/02/2020,2.0,0.0,0.0
Germany,02/02/2020,10.0,0.0,0.0
Mainland China,02/02/2020,16607.0,361.0,463.0
France,02/02/2020,6.0,0.0,0.0
Mainland China,02/03/2020,19693.0,425.0,614.0
US,02/03/2020,11.0,0.0,0.0
Italy,02/03/2020,2.0,0.0,0.0
France,02/03/2020,6.0,0.0,0.0
Germany,02/03/2020,12.0,0.0,0.0
Spain,02/03/2020,1.0,0.0,0.0
Mainland China,02/04/2020,23680.0,490.0,843.0
US,02/04/2020,11.0,0.0,0.0
Italy,02/04/2020,2.0,0.0,0.0
France,02/04/2020,6.0,0.0,0.0
Germany,02/04/2020,12.0,0.0,0.0
Spain,02/04/2020,1.0,0.0,0.0
France,02/05/2020,6.0,0.0,0.0
US,02/05/2020,12.0,0.0,0.0
Spain,02/05/2020,1.0,0.0,0.0
Germany,02/05/2020,12.0,0.0,0.0
Italy,02/05/2020,2.0,0.0,0.0
Mainland China,02/05/2020,27409.0,562.0,1115.0
Germany,02/06/2020,12.0,0.0,0.0
Spain,02/06/2020,1.0,0.0,0.0
France,02/06/2020,6.0,0.0,0.0
Italy,02/06/2020,2.0,0.0,0.0
Mainland China,02/06/2020,30553.0,632.0,1476.0
US,02/06/2020,12.0,0.0,0.0
Germany,02/07/2020,13.0,0.0,0.0
Italy,02/07/2020,3.0,0.0,0.0
France,02/07/2020,6.0,0.0,0.0
US,02/07/2020,12.0,0.0,0.0
Mainland China,02/07/2020,34075.0,717.0,1998.0
Spain,02/07/2020,1.0,0.0,0.0
Germany,02/08/2020,13.0,0.0,0.0
Italy,02/08/2020,3.0,0.0,0.0
France,02/08/2020,11.0,0.0,0.0
Spain,02/08/2020,1.0,0.0,0.0
US,02/08/2020,12.0,0.0,0.0
Mainland China,02/08/2020,36778.0,804.0,2595.0
France,02/09/2020,11.0,0.0,0.0
Germany,02/09/2020,14.0,0.0,0.0
Mainland China,02/09/2020,39790.0,904.0,3218.0
Spain,02/09/2020,2.0,0.0,0.0
US,02/09/2020,12.0,0.0,3.0
Italy,02/09/2020,3.0,0.0,0.0
Germany,02/10/2020,14.0,0.0,0.0
Mainland China,02/10/2020,42306.0,1011.0,3917.0
Spain,02/10/2020,2.0,0.0,0.0
US,02/10/2020,12.0,0.0,3.0
Italy,02/10/2020,3.0,0.0,0.0
France,02/10/2020,11.0,0.0,0.0
Spain,02/11/2020,2.0,0.0,0.0
Italy,02/11/2020,3.0,0.0,0.0
France,02/11/2020,11.0,0.0,0.0
Germany,02/11/2020,16.0,0.0,0.0
US,02/11/2020,13.0,0.0,3.0
Mainland China,02/11/2020,44327.0,1111.0,4635.0
Spain,02/12/2020,2.0,0.0,0.0
France,02/12/2020,11.0,0.0,2.0
Mainland China,02/12/2020,44699.0,1116.0,5079.0
Germany,02/12/2020,16.0,0.0,0.0
Italy,02/12/2020,3.0,0.0,0.0
US,02/12/2020,13.0,0.0,3.0
Mainland China,02/13/2020,59832.0,1368.0,6213.0
Germany,02/13/2020,16.0,0.0,1.0
