"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Total Cases per 1M Pop,Deaths per 1M Pop,TotalTests,Tests per 1M Pop,Continent,Positivepercentage,RecoveredPercentage,DeathPercentage
USA,738913.0,39015.0,68285.0,631613.0,13551.0,2232.0,118.0,3722209.0,11245.0,North America,19.851464546993466,9.241277389895698,5.280053267434732
Spain,194416.0,20639.0,74797.0,98980.0,7371.0,4158.0,441.0,930230.0,19896.0,Europe,20.899777474388053,38.472656571475596,10.615895811044359
Italy,175925.0,23227.0,44927.0,107771.0,2733.0,2910.0,384.0,1305833.0,21598.0,Europe,13.47224338793705,25.537587039931793,13.202785277817252
France,151793.0,19323.0,35983.0,96487.0,5833.0,2325.0,296.0,463662.0,7103.0,Europe,32.73785645578029,23.705309203981738,12.729836026694247
Germany,143724.0,4538.0,85400.0,53786.0,2922.0,1715.0,54.0,1728357.0,20629.0,Europe,8.315643122341045,59.419442820962395,3.1574406501349808
UK,114217.0,15464.0,344.0,98409.0,1559.0,1682.0,228.0,460437.0,6783.0,Europe,24.806216702827967,0.30118108512743286,13.539140408170415
China,82735.0,4632.0,77062.0,1041.0,85.0,57.0,3.0,0.0,0.0,Asia,0.0,93.14316794585122,5.5985979331600895
Turkey,82329.0,1890.0,10453.0,69986.0,1894.0,976.0,22.0,598933.0,7101.0,Asia,13.745944871963975,12.696619660144057,2.295667383303575
Iran,80868.0,5031.0,55987.0,19850.0,3513.0,963.0,60.0,330137.0,3931.0,Asia,24.495285290652063,69.23257654449226,6.221249443537617
Belgium,37183.0,5453.0,8348.0,23382.0,1119.0,3208.0,471.0,145997.0,12597.0,Europe,25.468331541059065,22.451120135545814,14.665304036791008
Brazil,36925.0,2372.0,14026.0,20527.0,6634.0,174.0,11.0,62985.0,296.0,South America,58.62506946098277,37.98510494245092,6.423832092078538
Russia,36793.0,313.0,3057.0,33423.0,8.0,252.0,2.0,1831892.0,12553.0,Europe,2.0084699316335244,8.30864566629522,0.8507052972032725
Canada,33383.0,1470.0,11207.0,20706.0,557.0,885.0,39.0,516216.0,13677.0,North America,6.466866582980768,33.57097924093102,4.403438876074649
Netherlands,31589.0,3601.0,250.0,27738.0,1279.0,1844.0,210.0,154911.0,9041.0,Europe,20.391708787626445,0.7914147329766691,11.399537813795941
Switzerland,27404.0,1368.0,17100.0,8936.0,386.0,3166.0,158.0,216400.0,25004.0,Europe,12.663585951940851,62.399649686177206,4.9919719748941755
Portugal,19685.0,687.0,610.0,18388.0,228.0,1931.0,67.0,235878.0,23133.0,Europe,8.34541585056682,3.0988061976123955,3.4899669799339597
India,16365.0,521.0,2463.0,13381.0,0.0,12.0,0.4,372123.0,270.0,Asia,4.397739457114986,15.050412465627863,3.183623586923312
Ireland,14758.0,571.0,77.0,14110.0,294.0,2989.0,116.0,90646.0,18358.0,Europe,16.28091697372195,0.5217509147580973,3.8690879522970594
Austria,14671.0,443.0,10214.0,4014.0,208.0,1629.0,49.0,175932.0,19534.0,Europe,8.339017347611577,69.62033944516392,3.019562402017586
Peru,14420.0,348.0,6684.0,7388.0,117.0,437.0,11.0,135895.0,4122.0,South America,10.611133595790868,46.35228848821082,2.4133148404993063
Sweden,13822.0,1511.0,550.0,11761.0,1054.0,1369.0,150.0,74600.0,7387.0,Europe,18.528150134048257,3.979163652148748,10.931847778903197
Israel,13265.0,164.0,3456.0,9645.0,164.0,1533.0,19.0,187250.0,21634.0,Asia,7.084112149532711,26.05352431209951,1.236336223143611
S. Korea,10661.0,234.0,8042.0,2385.0,55.0,208.0,5.0,559109.0,10905.0,Asia,1.9067838292712154,75.4338242191164,2.1949160491511117
Japan,10296.0,222.0,1069.0,9005.0,221.0,81.0,2.0,111325.0,880.0,Asia,9.248596451830227,10.382672882672884,2.156177156177156
Chile,9730.0,126.0,4035.0,5569.0,360.0,509.0,7.0,108891.0,5696.0,South America,8.935541045632789,41.46968139773895,1.2949640287769784
Ecuador,9022.0,456.0,1008.0,7558.0,168.0,511.0,26.0,30922.0,1753.0,South America,29.176637992367894,11.172688982487253,5.054311682553758
Poland,8742.0,347.0,981.0,7414.0,160.0,231.0,9.0,192960.0,5098.0,Europe,4.5304726368159205,11.22168840082361,3.969343399679707
Romania,8418.0,421.0,1730.0,6267.0,248.0,438.0,22.0,90991.0,4730.0,Europe,9.251464430548076,20.551199809931102,5.001187930624852
Saudi Arabia,8274.0,92.0,1329.0,6853.0,78.0,238.0,3.0,150000.0,4309.0,Asia,5.516,16.06236403190718,1.111916847957457
Pakistan,7638.0,143.0,1832.0,5663.0,46.0,35.0,0.6,92548.0,419.0,Asia,8.253014651856335,23.98533647551715,1.8722178580780309
Mexico,7497.0,650.0,2627.0,4220.0,207.0,58.0,5.0,49167.0,381.0,North America,15.248032216730733,35.040682939842604,8.670134720554888
Denmark,7242.0,346.0,3847.0,3049.0,76.0,1250.0,60.0,91437.0,15786.0,Europe,7.920207355884379,53.12068489367579,4.777685722176194
Norway,7069.0,164.0,32.0,6873.0,63.0,1304.0,30.0,139668.0,25763.0,Europe,5.061288197726036,0.45268071863064085,2.3199886829820344
